num_kv,cases,qp_mergeprag_hit,ponly_mergeprag_hit,delta_mergeprag_hit,qp_token_f1,ponly_token_f1,delta_token_f1,qp_qa_score,ponly_qa_score,delta_qa_score,qp_time_s,ponly_time_s,report_dir
1,397,0.43073047858942065,0.6599496221662469,-0.2292191435768262,0.5271276454129833,0.6730035506225319,-0.14587590520954863,0.26608271439414904,0.33650177531126596,-0.07041906091711692,4.2563191581850575,3.7001975758205887,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv1
2,100,0.42,0.65,-0.23000000000000004,0.514458896337227,0.6678015957552865,-0.15334269941805956,0.2572294481686135,0.33390079787764326,-0.07667134970902978,4.8952372129959985,3.8062301230005686,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv2
4,100,0.57,0.65,-0.08000000000000007,0.6283073372766511,0.6678015957552865,-0.03949425847863541,0.31415366863832556,0.33390079787764326,-0.019747129239317707,3.830944196000928,3.7668867740029235,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv4
8,100,0.61,0.65,-0.040000000000000036,0.6482750443845262,0.6678015957552865,-0.019526551370760314,0.3291375221922631,0.33390079787764326,-0.004763275685380153,4.294779473003582,3.772134352995199,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv8
16,100,0.72,0.65,0.06999999999999995,0.7105673152139628,0.6678015957552865,0.042765719458676243,0.3552836576069814,0.33390079787764326,0.021382859729338122,3.4663364110008117,3.7538226289994783,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv16
32,100,1.0,0.65,0.35,0.8385705514543126,0.6678015957552865,0.17076895569902606,0.4192852757271563,0.33390079787764326,0.08538447784951303,3.874095339999185,3.803570415999857,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv32
48,100,0.98,0.65,0.32999999999999996,0.8313416486720852,0.6678015957552865,0.16354005291679863,0.4156708243360426,0.33390079787764326,0.08177002645839931,3.805689367000596,3.7841779680002947,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv48
64,100,0.91,0.65,0.26,0.8274026744588177,0.6678015957552865,0.15960107870353113,0.4137013372294088,0.33390079787764326,0.07980053935176556,3.335346538001322,3.7611645819974364,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv64
80,100,0.89,0.65,0.24,0.797842401762829,0.6678015957552865,0.13004080600754242,0.3989212008814145,0.33390079787764326,0.06502040300377121,3.722554739000043,3.7798334159998923,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv80
96,100,0.98,0.65,0.32999999999999996,0.8450499748797692,0.6678015957552865,0.17724837912448266,0.4225249874398846,0.33390079787764326,0.08862418956224133,4.015695550998789,3.978983582999208,llm_server\PRAG\reports\kv_slot_latency_entity_simple4000_qp_400cases\kv96
