epoch,qp_mergeprag_hit,ponly_mergeprag_hit,delta_mergeprag_hit,qp_token_f1,ponly_token_f1,delta_token_f1,qp_qa_score,ponly_qa_score,delta_qa_score,qp_time_s,ponly_time_s
1,0.94,0.6675,0.27249999999999996,0.8076313148580823,0.6424719359458027,0.1651593789122796,0.40381565742904113,0.3212359679729013,0.0825796894561398,3.408304809001274,3.6646395437492174
2,0.9325,0.59,0.3425,0.8152744370991546,0.6566190302921074,0.15865540680704715,0.4076372185495773,0.3283095151460537,0.07932770340352358,3.5656000555003993,3.6162602000012702
3,0.97,0.815,0.15500000000000003,0.825602921662004,0.7559656649119612,0.06963725675004284,0.412801460831002,0.3779828324559806,0.03481862837502142,3.660743708249502,3.4336478145004365
4,0.7775,0.8325,-0.05500000000000005,0.6778730198486571,0.7466157711177174,-0.06874275126906026,0.33893650992432856,0.3733078855588587,-0.03437137563453013,4.096729439249029,3.5710660317495058
5,0.9775,0.7825,0.19500000000000006,0.8400532595585526,0.7346708064298386,0.10538245312871397,0.4200266297792763,0.3673354032149193,0.052691226564356985,3.5231683347496436,3.44320322075102
6,0.9625,0.7975,0.16500000000000004,0.8305697147970847,0.7326255146206456,0.09794420017643912,0.4152848573985424,0.3663127573103228,0.04897210008821956,3.5254808877508914,3.612486831999413
7,0.9675,0.7825,0.18500000000000005,0.8254512701716787,0.7271495860710064,0.0983016841006723,0.41272563508583937,0.3648247930355033,0.04790084205033607,3.531383510748419,3.602126293249603
8,0.97,0.7675,0.2025,0.8300084687324839,0.7129979652771852,0.11701050345529873,0.41500423436624195,0.3589989826385926,0.05600525172764936,3.5707899869985704,3.623469557248609
9,0.975,0.7625,0.21250000000000002,0.8298064195067234,0.7020346385862248,0.12777178092049857,0.4149032097533617,0.35476731929311245,0.06013589046024925,3.56691820225009,3.712037049500359
10,0.9775,0.715,0.26250000000000007,0.8240808587450656,0.6807519939768657,0.14332886476819995,0.4120404293725328,0.3441259969884329,0.06791443238409994,3.59161153849971,3.694291347747785
